Item,Quantity,Price Paid,Description,Date
Mountain Silversage,20,13.332,Herbs,2019-11-21
Mountain Silversage,20,13.33,Herbs,2019-11-21
Mountain Silversage,20,13.33,Herbs,2019-11-21
Mountain Silversage,20,13.3,Herbs,2019-11-21
Mountain Silversage,20,13.3,Herbs,2019-11-21
Mountain Silversage,1,0.6484,Herbs,2019-11-21
Plaguebloom,20,7.8,Herbs,2019-11-21
Plaguebloom,20,7.8,Herbs,2019-11-21
Plaguebloom,20,7.8,Herbs,2019-11-21
Plaguebloom,20,7.8,Herbs,2019-11-21
Plaguebloom,14,5.46,Herbs,2019-11-21
Plaguebloom,5,1.95,Herbs,2019-11-21
Plaguebloom,4,1.521,Herbs,2019-11-21
Plaguebloom,3,1.1123,Herbs,2019-11-21
